ASTM,Product_Form,Metal_Type,Grade,C_min,C_max,Mn_min,Mn_max,Si_min,Si_max,P_min,P_max,S_min,S_max,Cr_min,Cr_max,Ni_min,Ni_max,Mo_min,Mo_max,Cu_min,Cu_max,N_min,N_max,Ti_min,Ti_max,Nb_min,Nb_max,W_min,W_max,Al_min,Al_max,B_min,B_max,HB_min,HB_max,TS_min,TS_max,HRc_min,HRc_max
B574,Bar / Rod / Wire,Nickel-Molybdenum Alloy (Hastelloy B / B2),Hastelloy C276,,0.02,,1.00,,0.08,,,,14.50,16.50,57.00,63.00,15.00,17.00,0.50,1.00,Bal,Bal,,,,,,,,,,,,,,,,,
B574,Bar / Rod / Wire,Nickel-Molybdenum Alloy (Hastelloy B / B2),Hastelloy C4,,0.01,,1.00,,0.08,,,,14.00,18.00,65.00,70.00,14.00,17.00,,,Bal,Bal,,,,,,,,,,,,,,,,,
B574,Bar / Rod / Wire,Nickel-Molybdenum Alloy (Hastelloy B / B2),Hastelloy N,,0.02,,0.50,,0.08,,,,6.00,8.00,70.00,76.00,15.00,17.00,,,Bal,Bal,,,,,,,,,,,,,,,,,
B575,Plate / Sheet / Strip,Nickel-Molybdenum Alloy (Hastelloy B / B2),Hastelloy C22,,0.02,,0.50,,0.08,,,,20.00,22.50,56.00,63.00,12.50,14.50,0.50,2.50,Bal,Bal,,,,,,,,,,,,,,,,,
B575,Plate / Sheet / Strip,Nickel-Molybdenum Alloy (Hastelloy B / B2),Hastelloy C276,,0.02,,1.00,,0.08,,,,14.50,16.50,57.00,63.00,15.00,17.00,0.50,1.00,Bal,Bal,,,,,,,,,,,,,,,,,
B575,Plate / Sheet / Strip,Nickel-Molybdenum Alloy (Hastelloy B / B2),Hastelloy N,,0.02,,0.50,,0.08,,,,6.00,8.00,70.00,76.00,15.00,17.00,,,Bal,Bal,,,,,,,,,,,,,,,,,
B622,Tube (Seamless),Nickel-Molybdenum-Chromium Alloy (Hastelloy C-22 / C-276),Hastelloy C22,,0.02,,0.50,,0.08,,,,20.00,22.50,56.00,63.00,12.50,14.50,0.50,2.50,Bal,Bal,,,,,,,,,,,,,,,,,
B622,Tube (Seamless),Nickel-Molybdenum-Chromium Alloy (Hastelloy C-22 / C-276),Hastelloy C276,,0.02,,1.00,,0.08,,,,14.50,16.50,57.00,63.00,15.00,17.00,0.50,1.00,Bal,Bal,,,,,,,,,,,,,,,,,
B622,Tube (Seamless),Nickel-Molybdenum-Chromium Alloy (Hastelloy C-22 / C-276),Inconel 625,,0.10,,0.50,,0.50,,,,20.00,23.00,58.00,,8.00,10.00,,,,,3.15,4.15,,,,,,,,,,,,,,,
B625,Plate / Sheet / Strip,Nickel-Molybdenum-Chromium Alloy (Hastelloy C-22 / C-276),Alloy 904L,,0.02,,2.00,,1.00,,,,19.00,23.00,23.00,28.00,4.00,5.00,1.00,2.00,Bal,Bal,0.10,0.25,,,,,,,,,,,,,,,
B625,Plate / Sheet / Strip,Nickel-Molybdenum-Chromium Alloy (Hastelloy C-22 / C-276),Alloy 31,,0.02,,2.00,,1.00,,,,26.00,28.00,30.00,32.00,6.00,7.00,1.00,1.50,Bal,Bal,0.15,0.25,,,,,,,,,,,,,,,
